,Event counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Event 1,Event 2,Event 3,Event 4,Event 5,Event 6,Event 7,Event 8,Event 9,Event 10,Event 11,Event 12,Event 13,Event 14,Event 15,Event 16,Event 17,Event 18,Event 19,Event 20,Event 21,Event 22,Event 23,Event 24,Event 25,Event 26,Event 27,Event 28,Event 29,Event 30,Event 31,Event 32,Event 33,Event 34,Event 35,Event 36,Event 37,Event 38,Event 39,Event 40,Event 41,Event 42,Event 43,Event 44,
2018-02-10,131467,,,1404,319,,,,8830,,2946,17114,1,71170,23779,,6661,,,,,571,1206,,,1,1524,,3470,,3,,,,280527,,,,,,925,3793,33791,,
2018-02-11,125960,,,1324,362,,,,8246,,3253,17879,,65566,22851,,6229,,,,,511,1167,,,,1315,,3150,,6,1,,,263300,,,,,,843,3561,32080,,
2018-02-12,138004,,,1516,245,,,,9454,,2417,24443,,76470,26513,,6524,,,,,625,1380,,,2,890,,3821,,3,,,,284974,,,,,,1018,3978,40014,,
2018-02-13,144078,,,1753,203,,,1,10034,,2339,23188,,80771,27831,,7183,,,,,702,1455,,,2,607,,3941,,2,1,,,308779,,,,,,1082,4186,45778,,
2018-02-14,129852,,,1446,419,,,,8949,,3280,17446,,69982,23950,,6587,,,,,519,1236,,,3,1593,,3401,,3,,,,282318,,,,,,812,3821,32796,,
2018-02-15,113503,,,1263,341,,,,7881,,2771,22560,2,60604,19616,,5231,,,,,463,1018,,,2,1595,,2961,,3,1,,,241921,,,,,,750,3341,27122,,
2018-02-16,115433,,,1149,293,,,,7397,,2740,20315,1,60175,19993,,4852,,,,,474,1059,,,,1631,,2922,,2,,,,234823,,,,,,735,2991,28532,,
2018-02-17,124409,,,1475,314,,,,7671,,2958,16337,,67198,22441,,6041,,,,,545,1144,,,2,1543,,3116,,,,,,267670,,,,,,886,3147,32624,,
2018-02-18,123511,,,1424,271,,,,7618,,2547,17848,,68832,23626,,5439,,,,,550,1203,,,1,1180,,3132,,2,,,,252203,,,,,,891,3253,35700,,
2018-02-19,144347,,,1717,190,,,,9296,,2448,18652,,82024,27447,,6421,,,,,648,1478,,,2,560,,3752,,6,,,,329641,,,,,,1166,3956,43026,,
2018-02-20,168473,,,2061,214,,,,11080,,2465,21982,,98746,32412,,7369,,,,,765,1728,,,1,422,,4585,,1,,,,362523,,,,,,1404,4714,52952,,
2018-02-21,155350,,,1928,327,,,,10526,,3097,23573,,89645,28975,,6941,,,,,848,1484,,,3,1205,,4226,,2,,,,305109,,,,,,1326,4526,43203,,
2018-02-22,131090,,,1616,308,,,,9109,,2923,18355,,79648,26524,,6427,,,,,758,1435,,,14,1256,,3646,,9,11,,,253405,,,,,,1191,3995,41637,,
2018-02-23,120462,,,1581,322,,,,8620,,1560,17628,,73355,24270,,5480,,,,,687,1302,,,,1220,,3459,,3,,,,243001,,,,,,1161,3791,36711,,
2018-02-24,112700,,,1539,262,,,,8632,,1525,16961,1,70139,22637,,5528,,,,,651,1236,,,8,981,,3346,,1,6,,,230804,,,,,,1067,3613,36377,,
2018-02-25,93226,,,1219,268,,,,7606,,1213,14637,1,58036,18676,,4786,,,,,589,1046,,,2,917,,2808,,2,3,,,185003,,,,,,833,3183,28311,,
2018-02-26,102207,,,1311,214,,,,8763,,1146,15894,,66419,21464,,5387,,,,,610,1257,,,4,485,,3386,,5,,,,213622,,,,,,935,3498,34679,,
2018-02-27,108063,,,1240,216,,,,10002,,1300,19924,,72852,23541,,6267,,,,,629,1385,,,2,494,,3820,,3,,,,231269,,,,,,1040,3993,40127,,
2018-02-28,109202,,,1339,328,,,,10494,,1710,20062,,75267,23083,,6675,,,,,615,1332,,,6,1038,,3964,,4,1,,,251259,,,,,,910,4034,35196,,
2018-03-01,91473,,30,1012,295,,,48,8464,,1705,14906,,59956,19068,,5334,,,,,438,1069,,,4,1058,,3095,,4,,,,204623,,,,,,697,3164,26768,,
2018-03-02,83554,,32,940,240,,,56,7765,,1508,14084,1,52634,16103,,4357,,,,,472,949,,,4,1320,,2800,,4,1,,,191553,,,,,,677,3056,25331,,
2018-03-03,87859,2,56,1164,284,48,,43,8491,204,1370,14193,,58879,16769,103,5047,,6,48,2,519,995,,,4,1454,,3202,,6,3,111,5,192483,240,4,,,,752,3250,27452,4,
2018-03-04,77510,,82,1012,235,58,,,7519,272,1171,13568,,50768,14618,172,4585,,8,41,,442,811,,,,1213,,2783,,2,,111,,160660,361,1,,,4275,618,2854,23534,,
2018-03-05,86785,,92,1103,173,101,,,8366,276,1065,14195,,59613,17592,193,4876,,7,45,,535,1096,,,2,652,,3105,,5,,187,,185308,418,,,,4835,771,3221,27893,1,
2018-03-06,98716,,95,1318,196,112,,7,10658,332,1205,16697,,72604,20401,233,6596,,6,49,,638,1263,,,2,521,,3964,,1,,202,1,237272,597,,,,5982,904,4078,34233,,
2018-03-07,96218,,78,1280,299,103,22,,9525,324,1684,17877,,65188,19301,234,5670,,6,47,,546,1100,,,4,1236,,3441,,8,,207,,225185,446,4,,,6312,823,3811,28207,,
2018-03-08,90421,1,123,1293,262,100,6,13,8449,322,1390,15116,,59543,17785,195,5201,,11,37,,555,1020,,,4,1148,,3112,,4,,167,,193386,428,,,,5605,826,3583,27032,,
2018-03-09,96613,,80,1457,310,71,1,2,9964,263,1705,16193,,67280,17970,171,5184,,10,49,1,589,1067,221,,4,1117,,3640,,5,,164,,215382,457,,,,5494,912,4010,36913,,
2018-03-10,94813,,91,1442,319,72,8,15,8880,288,1431,15753,,62967,17509,216,4794,,9,49,,572,1051,613,,4,1347,,3202,,3,,176,1,198874,376,,,,5516,855,3652,39086,,
